MANDT;LIFNR;LAND1;NAME1;NAME2;NAME3;NAME4;ORT01;ORT02;PFACH;PSTL2;PSTLZ;REGIO;SORTL;STRAS;ADRNR;MCOD1;MCOD2;MCOD3;ANRED;BAHNS;BBBNR;BBSNR;BEGRU;BRSCH;BUBKZ;DATLT;DTAMS;DTAWS;ERDAT;ERNAM;ESRNR;KONZS;KTOKK;KUNNR;LNRZA;LOEVM;SPERR;SPERM;SPRAS;STCD1;STCD2;STKZA;STKZU;TELBX;TELF1;TELF2;TELFX;TELTX;TELX1;XCPDK;XZEMP;VBUND;FISKN;STCEG;STKZN;SPERQ;GBORT;GBDAT;SEXKZ;KRAUS;REVDB;QSSYS;KTOCK;PFORT;WERKS;LTSNA;WERKR;PLKAL;DUEFL;TXJCD;SPERZ;SCACD;SFRGR;LZONE;XLFZA;DLGRP;FITYP;STCDT;REGSS;ACTSS;STCD3;STCD4;STCD5;IPISP;TAXBS;PROFS;STGDL;EMNFR;LFURL;J_1KFREPRE;J_1KFTBUS;J_1KFTIND;CONFS;UPDAT;UPTIM;NODEL;QSSYSDAT;PODKZB;FISKU;STENR;CARRIER_CONF;MIN_COMP;TERM_LI;CRC_NUM;CVP_XBLCK;RG;EXP;UF;RGDATE;RIC;RNE;RNEDATE;CNAE;LEGALNAT;CRTN;ICMSTAXPAY;INDTYP;TDT;COMSIZE;DECREGPC;LFA1_EEW_SUPP;J_SC_CAPITAL;J_SC_CURRENCY;ALC;PMT_OFFICE;PPA_RELEVANT;PSOFG;PSOIS;PSON1;PSON2;PSON3;PSOVN;PSOTL;PSOHS;PSOST;BORGR_DATUN;BORGR_YEAUN;ADDR2_STREET;ADDR2_HOUSE_NUM;ADDR2_POST;ADDR2_CITY;ADDR2_COUNTRY;CATEG;PARTNER_NAME;PARTNER_UTR;STATUS;VFNUM;VFNID;CRN;J_1IEXCD;J_1IEXRN;J_1IEXRG;J_1IEXDI;J_1IEXCO;J_1ICSTNO;J_1ILSTNO;J_1IPANNO;J_1IEXCIVE;J_1ISSIST;J_1IVTYP;J_1IVENCRE;AEDAT;USNAM;J_1ISERN;J_1IPANREF;J_1IPANVALDT;J_1I_CUSTOMS;J_1IDEDREF;VEN_CLASS;ENTPUB;ESCRIT;DVALSS;FRMCSS;CODCAE;AUSDIV;TRANSPORT_CHAIN;STAGING_TIME;SCHEDULING_TYPE;SUBMI_RELEVANT
100;643266;US;Jennifer Stone;;;;Palo Alto;;;;94030;CA;STONE;Hillview Avenue 110;25312;JENNIFER STONE;;PALO ALTO;Ms.;;0;0;;;0;;;;26.02.2020;BPINST;;;0001;;;;;;EN;;;;;;;;;;;;;;;;X;;;01.01.1986;2;;;;;;;X;X;;X;;;;;;;;;;;;;;;;0;;;;;;;;;;00:00:00;;;;;;;;;;;;;;;0;;;;0;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;;
100;1000109;KY;ARP International Ltd;;;;George Town;;;;KYI;;;100 Get Rich;25305;ARP INTERNATIONAL LTD;;GEORGE TOWN;;;0;0;;;0;;;;26.02.2020;BPINST;;;SUPL;;;;;;EN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;0;;;;;;;;;;00:00:00;;;;;;;;;;;;;;;0;;;;0;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;;
100;3000001;DE;ABC Supplier 02;MDG;;;Heidelburg;;;;;;MDG;;24731;ABC SUPPLIER 02;MDG;HEIDELBURG;Company;;0;0;;;0;;;;14.02.2019;SAP_WFRT;;;KRED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;0;;;;;;;;;;00:00:00;;;;;;;;;;;;;;;0;;;;0;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;;
100;3000010;US;Demo Supplier Company A;;;;New York;;;;65967;;MDG;;24765;DEMO SUPPLIER COMPANY A;;NEW YORK;Company;;0;0;;;0;;;;21.02.2019;SAP_WFRT;;;KRED;;;;;;EN;;;;;;;;;;;;;1010;;;;;;;;;;;;;;;;;X;7700000000;;;;;;;;;;;;;;;0;;;;;;;;;;00:00:00;;;;;;;;;;;;;;;0;;;;0;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;;
100;10200001;HU;Supplier/Customer for Intrastat (HU;;;;Budapest;;;;1032;;BP1;1139 Váci út 71 60;23821;SUPPLIER/CUSTOMER FOR INT;;BUDAPEST;Company;;0;0;;;0;;;;18.10.2017;BPINST;;;SUPL;10200001;;;;;EN;;;;;;9999 3288-0;;;;;;;;;HU12345688;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;0;;;;;;;;;;00:00:00;;;;;;;;;;;;;;;0;;;;0;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;;
100;10300001;DE;Inlandslieferant DE 1;;;;Haltern am See;;;;45721;NW;LIEF1;Hullerner Straße 23;23746;INLANDSLIEFERANT DE 1;;HALTERN AM SEE;Company;;0;0;;;0;;;;17.10.2017;BPINST;;;SUPL;;;;;;DE;;;;;;09990 5232-0;;;;;;;;;DE178562898;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;0;;;;;;;;;;00:00:00;;;;;;;;;;;;;;;0;;;;0;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;;
100;10300002;DE;Inlandslieferant DE 2;;;;Gotha;;;;99867;TH;LIEF2;Kirchhög 78;23748;INLANDSLIEFERANT DE 2;;GOTHA;Company;;0;0;;;0;;;;17.10.2017;BPINST;;;SUPL;;;;;;DE;;;;;;09990 362-0;;;;;;;;;DE235984551;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;0;;;;;;;;;;00:00:00;;;;;;;;;;;;;;;0;;;;0;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;;
100;10300003;DE;Inlandslieferant DE 3 (mit ERS);;;;Berlin;;;;14055;BE;LIEF3;Messedamm 22;24526;INLANDSLIEFERANT DE 3 (MI;;BERLIN;Company;;0;0;;;0;;;;30.10.2018;BPINST;;;SUPL;;;;;;DE;;;;;;09990 589-0;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;0;;;;;;;;;;00:00:00;;;;;;;;;;;;;;;0;;;;0;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;;
100;10300006;DE;Inlandslieferant DE 6 (Retouren);;;;Hamburg;;;;22767;HH;LIEFDE6;Holstenstraße 1142;23778;INLANDSLIEFERANT DE 6 (RE;;HAMBURG;Company;;0;0;;;0;;;;17.10.2017;BPINST;;;SUPL;10100006;;;;;DE;;;;;;09990 25420-0;;;;;;;;;DE204894864;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;0;;;;;;;;;;00:00:00;;;;;;;;;;;;;;;0;;;;0;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;;
100;10300007;DE;Inland-Lohnbearbeiter A, DE;;;;Alleringersleben;;;;39343;ST;VEN-SUBCON;Hauptstraße 12;23809;INLAND-LOHNBEARBEITER A,;;ALLERINGERSLEBEN;Company;;0;0;;;0;;;;18.10.2017;BPINST;;;SUPL;10100007;;;;;DE;;;;;;09990 953-0;;;;;;;;;DE221983915;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;0;;;;;;;;;;00:00:00;;;;;;;;;;;;;;;0;;;;0;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;;
