MANDT;MATNR;SPRAS;MAKTX;MAKTG
100;11;EN;MDG Demo Laptop;MDG DEMO LAPTOP
100;21;DE;Pumpe;PUMPE
100;21;EN;Pump PRECISION 100;PUMP PRECISION 100
100;21;FR;Pompe PRECISION 100;POMPE PRECISION 100
100;22;DE;Pumpe PRECISION 107;PUMPE PRECISION 107
100;22;EN;Pump PRECISION 107;PUMP PRECISION 107
100;22;FR;Pompe PRECISION 107;POMPE PRECISION 107
100;23;DE;Pumpe PRECISION 108 Fremdbearbeitung;PUMPE PRECISION 108 FREMDBEARBEITUNG
100;23;EN;Pump PRECISION 108;PUMP PRECISION 108
100;23;FR;Pompe PRECISION 108;POMPE PRECISION 108
100;24;DE;Pumpe Stahlguss IDESNORM 170-230;PUMPE STAHLGUSS IDESNORM 170-230
100;24;EN;Pump cast steel IDESNORM 170-230;PUMP CAST STEEL IDESNORM 170-230
100;24;FR;Pompe acier moulé IDESNORM 170-230;POMPE ACIER MOULÉ IDESNORM 170-230
100;25;DE;Turbo-Hochleistungspumpe;TURBO-HOCHLEISTUNGSPUMPE
100;25;EN;High speed turbo pump;HIGH SPEED TURBO PUMP
100;25;FR;Pompe turbo à grande vitesse;POMPE TURBO À GRANDE VITESSE
100;26;DE;Pumpe PX12;PUMPE PX12
100;26;EN;Pump PX12;PUMP PX12
100;26;FR;Pompe PX12;POMPE PX12
100;27;DE;Pumpe PX13;PUMPE PX13
100;27;EN;Pump PX13;PUMP PX13
100;27;FR;Pompe PX13;POMPE PX13
100;28;DE;Pumpe PX14;PUMPE PX14
100;28;EN;Pump PX14;PUMP PX14
100;28;FR;Pompe PX14;POMPE PX14
100;29;DE;Pumpe PX15;PUMPE PX15
100;29;EN;Pump PX15;PUMP PX15
100;29;FR;Pompe PX15;POMPE PX15
100;30;DE;Pumpe GG Etanorm 200-1000;PUMPE GG ETANORM 200-1000
100;30;EN;Pump GG  Etanorm 200-1000;PUMP GG  ETANORM 200-1000
100;30;FR;Pompe GG Etanorm 200-1000;POMPE GG ETANORM 200-1000
100;31;DE;Pumpe GG Etanorm 200-1000;PUMPE GG ETANORM 200-1000
100;31;EN;Pump GG  Etanorm 200-1000;PUMP GG  ETANORM 200-1000
100;31;FR;Pompe GG Etanorm 200-1000;POMPE GG ETANORM 200-1000
100;32;DE;Pumpe PRECISION 101;PUMPE PRECISION 101
100;32;EN;Pump PRECISION 101;PUMP PRECISION 101
100;32;FR;Pompe PRECISION 101;POMPE PRECISION 101
100;33;DE;Pumpe PRECISION 102;PUMPE PRECISION 102
100;33;EN;Pump PRECISION 102;PUMP PRECISION 102
100;33;FR;Pompe PRECISION 102;POMPE PRECISION 102
100;34;DE;Pumpe PRECISION 103;PUMPE PRECISION 103
100;34;EN;Pump PRECISION 103;PUMP PRECISION 103
100;34;FR;Pompe PRECISION 103;POMPE PRECISION 103
100;35;DE;Pumpe PRECISION 104;PUMPE PRECISION 104
100;35;EN;Pump PRECISION 104;PUMP PRECISION 104
100;35;FR;Pompe PRECISION 104;POMPE PRECISION 104
100;36;DE;Pumpe GG Etanorm 150-200 (Kontingent);PUMPE GG ETANORM 150-200 (KONTINGENT)
100;36;EN;Pump GG standard 150-200;PUMP GG STANDARD 150-200
100;36;FR;Pompe GG standard 150-200;POMPE GG STANDARD 150-200
100;37;DE;Pumpe GG IDESNORM 100-106;PUMPE GG IDESNORM 100-106
100;37;EN;Pump GG IDESNORM  100-106;PUMP GG IDESNORM  100-106
100;37;FR;Pompe GG IDESNORM 100-106;POMPE GG IDESNORM 100-106
100;42;DE;Kupplung;KUPPLUNG
100;42;EN;Clutch;CLUTCH
100;42;FR;Embrayage;EMBRAYAGE
100;43;DE;Kupplung;KUPPLUNG
100;43;EN;Clutch;CLUTCH
100;43;FR;Embrayage;EMBRAYAGE
100;44;DE;Fahrgestell;FAHRGESTELL
100;44;EN;Carrier;CARRIER
100;44;FR;Châssis inférieur;CHÂSSIS INFÉRIEUR
100;45;DE;Kupplung;KUPPLUNG
100;45;EN;Clutch;CLUTCH
100;45;FR;Embrayage;EMBRAYAGE
100;46;DE;Kupplung;KUPPLUNG
100;46;EN;Clutch;CLUTCH
100;46;FR;Embrayage;EMBRAYAGE
100;47;DE;Kupplung;KUPPLUNG
100;47;EN;Clutch;CLUTCH
100;47;FR;Embrayage;EMBRAYAGE
100;48;DE;Kupplung;KUPPLUNG
100;48;EN;Clutch;CLUTCH
100;48;FR;Embrayage;EMBRAYAGE
100;49;DE;Kupplung;KUPPLUNG
100;49;EN;Clutch;CLUTCH
100;49;FR;Embrayage;EMBRAYAGE
100;50;DE;Fahrwerk;FAHRWERK
100;50;EN;Under Carriage;UNDER CARRIAGE
100;50;FR;Sous-chassis;SOUS-CHASSIS
100;51;DE;Kupplung;KUPPLUNG
100;51;EN;Clutch;CLUTCH
100;51;FR;Embrayage;EMBRAYAGE
100;52;DE;Fahrwerk;FAHRWERK
100;52;EN;Under Carriage;UNDER CARRIAGE
100;53;DE;Kupplung;KUPPLUNG
100;53;EN;Clutch;CLUTCH
100;53;FR;Embrayage;EMBRAYAGE
100;54;DE;Lenkung;LENKUNG
100;54;EN;Steering;STEERING
100;55;DE;Kupplung;KUPPLUNG
100;55;EN;Clutch;CLUTCH
100;55;FR;Embrayage;EMBRAYAGE
100;56;DE;Fahrwerk;FAHRWERK
100;56;EN;Under Carriage;UNDER CARRIAGE
100;57;DE;Kupplung;KUPPLUNG
100;57;EN;Clutch;CLUTCH
100;57;FR;Embrayage;EMBRAYAGE
100;58;DE;Fahrwerk;FAHRWERK
100;58;EN;Under Carriage;UNDER CARRIAGE
100;59;DE;Kupplung;KUPPLUNG
100;59;EN;Clutch;CLUTCH
100;59;FR;Embrayage;EMBRAYAGE
100;60;DE;Fahrwerk;FAHRWERK
100;60;EN;Under Carriage;UNDER CARRIAGE
100;61;DE;Kupplung;KUPPLUNG
100;61;EN;Clutch;CLUTCH
100;61;FR;Embrayage;EMBRAYAGE
100;62;DE;Fahrwerk;FAHRWERK
100;62;EN;Under Carriage;UNDER CARRIAGE
100;63;DE;Hubmast;HUBMAST
100;63;EN;Frame;FRAME
100;63;FR;Mat de levage;MAT DE LEVAGE
