MANDT;MATNR;ERSDA;CREATED_AT_TIME;ERNAM;LAEDA;AENAM;VPSTA;PSTAT;LVORM;MTART;MBRSH;MATKL;BISMT;MEINS;BSTME;ZEINR;ZEIAR;ZEIVR;ZEIFO;AESZN;BLATT;BLANZ;FERTH;FORMT;GROES;WRKST;NORMT;LABOR;EKWSL;BRGEW;NTGEW;GEWEI;VOLUM;VOLEH;BEHVO;RAUBE;TEMPB;DISST;TRAGR;STOFF;SPART;KUNNR;EANNR;WESCH;BWVOR;BWSCL;SAISO;ETIAR;ETIFO;ENTAR;EAN11;NUMTP;LAENG;BREIT;HOEHE;MEABM;PRDHA;AEKLK;CADKZ;QMPUR;ERGEW;ERGEI;ERVOL;ERVOE;GEWTO;VOLTO;VABME;KZREV;KZKFG;XCHPF;VHART;FUELG;STFAK;MAGRV;BEGRU;DATAB;LIQDT;SAISJ;PLGTP;MLGUT;EXTWG;SATNR;ATTYP;KZKUP;KZNFM;PMATA;MSTAE;MSTAV;MSTDE;MSTDV;TAKLV;RBNRM;MHDRZ;MHDHB;MHDLP;INHME;INHAL;VPREH;ETIAG;INHBR;CMETH;CUOBF;KZUMW;KOSCH;SPROF;NRFHG;MFRPN;MFRNR;BMATN;MPROF;KZWSM;SAITY;PROFL;IHIVI;ILOOS;SERLV;KZGVH;XGCHP;KZEFF;COMPL;IPRKZ;RDMHD;PRZUS;MTPOS_MARA;BFLME;MATFI;CMREL;BBTYP;SLED_BBD;GTIN_VARIANT;GENNR;RMATP;GDS_RELEVANT;WEORA;HUTYP_DFLT;PILFERABLE;WHSTC;WHMATGR;HNDLCODE;HAZMAT;HUTYP;TARE_VAR;MAXC;MAXC_TOL;MAXL;MAXB;MAXH;MAXDIM_UOM;HERKL;MFRGR;QQTIME;QQTIMEUOM;QGRP;SERIAL;PS_SMARTFORM;LOGUNIT;CWQREL;CWQPROC;CWQTOLGR;ADPROF;IPMIPPRODUCT;ALLOW_PMAT_IGNO;MEDIUM;COMMODITY;ANIMAL_ORIGIN;TEXTILE_COMP_IND;LAST_CHANGED_TIME;MATNR_EXTERNAL;CHML_CMPLNC_RLVNCE_IND;LOGISTICAL_MAT_CATEGORY;SALES_MATERIAL;IDENTIFICATION_TAG_TYPE;SGT_CSGR;SGT_COVSA;SGT_STAT;SGT_SCOPE;SGT_REL;ANP;PSM_CODE;FSH_MG_AT1;FSH_MG_AT2;FSH_MG_AT3;FSH_SEALV;FSH_SEAIM;FSH_SC_MID;DUMMY_PRD_INCL_EEW_PS;ZZ1_CUSTOMFIELDHIGHRIS_PRD;ZZ1_CUSTOMFIELDRISKMIT_PRD;ZZ1_CUSTOMFIELDRISKREA_PRD;SCM_MATID_GUID16;SCM_MATID_GUID22;SCM_MATURITY_DUR;SCM_SHLF_LFE_REQ_MIN;SCM_SHLF_LFE_REQ_MAX;SCM_PUOM;RMATP_PB;PROD_SHAPE;MO_PROFILE_ID;OVERHANG_TRESH;BRIDGE_TRESH;BRIDGE_MAX_SLOPE;HEIGHT_NONFLAT;HEIGHT_NONFLAT_UOM;SCM_KITCOMP;SCM_PROD_PAOOPT;SCM_BOD_DEPLVL;SCM_RESTRICT_INVBAL;SCM_DRP_GL_STOCK;SCM_EXCL_EXPEDITE;_CWM_XCWMAT;_CWM_VALUM;_CWM_TOLGR;_CWM_TARA;_CWM_TARUM;_BEV1_LULEINH;_BEV1_LULDEGRP;_BEV1_NESTRUCCAT;_DSD_SL_TOLTYP;_DSD_SV_CNT_GRP;_DSD_VC_GROUP;_SAPMP_KADU;_SAPMP_ABMEIN;_SAPMP_KADP;_SAPMP_BRAD;_SAPMP_SPBI;_SAPMP_TRAD;_SAPMP_KEDU;_SAPMP_SPTR;_SAPMP_FBDK;_SAPMP_FBHK;_SAPMP_RILI;_SAPMP_FBAK;_SAPMP_AHO;_SAPMP_MIFRR;_STTPEC_SERTYPE;_STTPEC_SYNCACT;_STTPEC_SYNCTIME;_STTPEC_SYNCCHG;_STTPEC_COUNTRY_REF;_STTPEC_PRDCAT;_VSO_R_TILT_IND;_VSO_R_STACK_IND;_VSO_R_BOT_IND;_VSO_R_TOP_IND;_VSO_R_STACK_NO;_VSO_R_PAL_IND;_VSO_R_PAL_OVR_D;_VSO_R_PAL_OVR_W;_VSO_R_PAL_B_HT;_VSO_R_PAL_MIN_H;_VSO_R_TOL_B_HT;_VSO_R_NO_P_GVH;_VSO_R_QUAN_UNIT;_VSO_R_KZGVH_IND;PACKCODE;DG_PACK_STATUS;SRV_DURA;SRV_DURA_UOM;SRV_SERWI;SRV_ESCAL;SOM_CYCLE;SOM_CYCLE_RULE;SOM_TC_SCHEMA;MCOND;RETDELC;LOGLEV_RETO;NSNID;ICFA;RIC_ID;OVLPN;ADSPC_SPC;VARID;MSBOOKPARTNO;DPCBT;XGRDT;IMATN;PICNUM;BSTAT;COLOR_ATINN;SIZE1_ATINN;SIZE2_ATINN;COLOR;SIZE1;SIZE2;FREE_CHAR;CARE_CODE;BRAND_ID;FIBER_CODE1;FIBER_PART1;FIBER_CODE2;FIBER_PART2;FIBER_CODE3;FIBER_PART3;FIBER_CODE4;FIBER_PART4;FIBER_CODE5;FIBER_PART5;FASHGRD;MATERIALKURZTEXT
100;11;14.02.2019;00:00:00;MDG_APPROVER;25.02.2020;MDG_APPROVER;KDP;KDP;;FERT;M;;;ST;;;;;;;;0;;;;;;;;0;0;;0;;;;;;;;;;9682270898;0;;;;;;;;;0;0;0;;100001;;;;0;;0;;0;0;;;;;;0;0;;;;;;;;;;;;;328;;;;;;;0;0;0;;0;EURO;;0;;0;;;;;;;;;;;;;;;;;;0;T;;;LEAS;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;08:05:56;11;Nicht entschieden;;;;;;;;;0;;;;;;;;;;;;0A7C457F45501ED98C8AA5B38C78C74C;2dn5VqLG7jcCYgMpZ7Z7J0;;;;;;;;0;0;0;0;;;;;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;;;0;0;0;;;;;;;;;;0;;0;0;0;0;0;0;;;;;0;;;;;;;;;;;;0;;0;0;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;
100;21;26.02.2019;00:00:00;SAP_WFRT;03.03.2020;SAP_WFRT;KLVD;KLVD;;FERT;M;1;MDCCALMASS;ST;;;;;;;;0;;;80 X 80 X 120;Stahl / Steel;;1;;280;250;KG;0.768;M3;;10;;;1;;1;;38380248367;0;;;;;;;2,05E+11;UC;80;80;120;CM;1,00E+13;;;;0;;0;;0;0;;;;;;0;0;;;;;;;;MDCCAL;;;;;323;;;;;;;0;0;0;;0;USD;;0;;0;;;;;;;;;;;;;;;;;;0;T;;;;;;;;B;;;;;;;;;;;;;;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;07:49:53;21;Nicht entschieden;;;;;;;;;0;;;;;;;;;;;;0A7C457F45501ED98EB5DA18B08893A8;2dn5VqLG7jcEjTeOi8YJg0;;;;;;;;0;0;0;0;;;;;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;;;0;0;0;;;;;;;;;;0;;0;0;0;0;0;0;;;;;0;;;;;;;;;;;;0;;0;0;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;Pumpe
100;22;26.02.2019;00:00:00;SAP_WFRT;;;KV;KV;;FERT;M;1;MDCCALMASS;ST;;;;;;;;0;;;80 X 80 X 120;;;;;280;250;KG;0;M3;;;;;1;;0;;49297527425;0;;;;;;;;;0;0;0;;1,00E+13;;;;0;;0;;0;0;;;;;;0;0;;;;;;;;MDCCAL;;;;;57;;;;;;;0;0;0;;0;EURO;;0;;0;;;;;;;;;;;;;;;;;;0;T;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;00:00:00;22;Nicht entschieden;;;;;;;;;0;;;;;;;;;;;;0A7C457F45501ED98EB5DA18B088D3A8;2dn5VqLG7jcEjTeOi8ZJg0;;;;;;;;0;0;0;0;;;;;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;;;0;0;0;;;;;;;;;;0;;0;0;0;0;0;0;;;;;0;;;;;;;;;;;;0;;0;0;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;Pumpe PRECISION 107
100;23;26.02.2019;00:00:00;SAP_WFRT;;;K;K;;FERT;M;1;MDCCALMASS;ST;;;;;;;;0;;;80 X 80 X 120;;;;;280;250;KG;0;M3;;;;;;;1;;54193886746;0;;;;;;;;;0;0;0;;1,00E+13;;;;0;;0;;0;0;;;;;;0;0;;;;;;;;MDCCAL;;;;;300;;;;;;;0;0;0;;0;USD;;0;;0;;;;;;;;;;;;;;;;;;0;T;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;00:00:00;23;Nicht entschieden;;;;;;;;;0;;;;;;;;;;;;0A7C457F45501ED98EB5DA18B088F3A8;2dn5VqLG7jcEjTeOi8Zpg0;;;;;;;;0;0;0;0;;;;;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;;;0;0;0;;;;;;;;;;0;;0;0;0;0;0;0;;;;;0;;;;;;;;;;;;0;;0;0;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;Pumpe PRECISION 108 Fremdbearbeitung
100;24;26.02.2019;00:00:00;SAP_WFRT;;;KLV;KLV;;FERT;M;1;MDCCALMASS;ST;;;;;;;;0;;;80 X 80 X 120;Stahl / Steel;;;;290;260;KG;0;M3;;1;;;1;;1;;26963813344;0;;;;;;;;;0;0;0;;1,00E+13;;;;0;;0;;0;0;;;;;;0;0;;;;;;;;MDCCAL;;;;;72;;;;;;;0;0;0;;0;EURO;;0;;0;;;;;;;;;;;;;;;;;;0;T;;;;;;;;B;;;;;;;;;;;;;;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;00:00:00;24;Nicht entschieden;;;;;;;;;0;;;;;;;;;;;;0A7C457F45501ED98EB5DA18B08913A8;2dn5VqLG7jcEjTeOi8aJg0;;;;;;;;0;0;0;0;;;;;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;;;0;0;0;;;;;;;;;;0;;0;0;0;0;0;0;;;;;0;;;;;;;;;;;;0;;0;0;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;Pumpe Stahlguss IDESNORM 170-230
100;25;26.02.2019;00:00:00;SAP_WFRT;;;KV;KV;;FERT;M;1;MDCCALMASS;ST;;;;;;;;0;;;80 X 80 X 120;Stahl / Steel;;;;280;250;KG;0;M3;;;;;1;;1;;51646988252;0;;;;;;;;;0;0;0;;1,00E+13;;;;0;;0;;0;0;;;;;;0;0;;;;;;;;MDCCAL;;;;;270;;;;;;;0;0;0;;0;USD;;0;;0;;;;;;;;;;;;;;;;;;0;T;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;00:00:00;25;Nicht entschieden;;;;;;;;;0;;;;;;;;;;;;0A7C457F45501ED98EB5DA18B08933A8;2dn5VqLG7jcEjTeOi8apg0;;;;;;;;0;0;0;0;;;;;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;;;0;0;0;;;;;;;;;;0;;0;0;0;0;0;0;;;;;0;;;;;;;;;;;;0;;0;0;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;Turbo-Hochleistungspumpe
100;26;26.02.2019;00:00:00;SAP_WFRT;03.03.2020;SAP_WFRT;KVD;KVD;;FERT;M;1;MDCCALMASS;ST;;;;;;;;0;;;10 X 10 X 12;Stahl / Steel;;;;1;0;KG;0;M3;;;;;1;;0;;47385415199;0;;;;;;;;;0;0;0;;;;;;0;;0;;0;0;;;;;;0;0;;;;;;;;MDCCAL;;;;;389;;;;;;;0;0;0;;0;EURO;;0;;0;;;;;;;;;;;;;;;;;;0;T;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;07:49:53;26;Nicht entschieden;;;;;;;;;0;;;;;;;;;;;;0A7C457F45501ED98EB5DA18B08953A8;2dn5VqLG7jcEjTeOi8bJg0;;;;;;;;0;0;0;0;;;;;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;;;0;0;0;;;;;;;;;;0;;0;0;0;0;0;0;;;;;0;;;;;;;;;;;;0;;0;0;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;Pumpe PX12
100;27;26.02.2019;00:00:00;SAP_WFRT;;;KV;KV;;FERT;M;1;MDCCALMASS;ST;;;;;;;;0;;;10 X 10 X 12;;;;;1;0;KG;0;M3;;;;;1;;0;;19529918224;0;;;;;;;;;0;0;0;;;;;;0;;0;;0;0;;;;;;0;0;;;;;;;;MDCCAL;;;;;488;;;;;;;0;0;0;;0;USD;;0;;0;;;;;;;;;;;;;;;;;;0;T;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;00:00:00;27;Nicht entschieden;;;;;;;;;0;;;;;;;;;;;;0A7C457F45501ED98EB5DA18B08973A8;2dn5VqLG7jcEjTeOi8bpg0;;;;;;;;0;0;0;0;;;;;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;;;0;0;0;;;;;;;;;;0;;0;0;0;0;0;0;;;;;0;;;;;;;;;;;;0;;0;0;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;Pumpe PX13
100;28;26.02.2019;00:00:00;SAP_WFRT;;;KV;KV;;FERT;M;1;MDCCALMASS;ST;;;;;;;;0;;;10 X 10 X 12;Stahl / Steel;;;;1;0;KG;0;M3;;;;;1;;0;;29987751923;0;;;;;;;;;0;0;0;;;;;;0;;0;;0;0;;;;;;0;0;;;;;;;;MDCCAL;;;;;399;;;;;;;0;0;0;;0;EURO;;0;;0;;;;;;;;;;;;;;;;;;0;T;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;00:00:00;28;Nicht entschieden;;;;;;;;;0;;;;;;;;;;;;0A7C457F45501ED98EB5DA18B08993A8;2dn5VqLG7jcEjTeOi8cJg0;;;;;;;;0;0;0;0;;;;;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;;;0;0;0;;;;;;;;;;0;;0;0;0;0;0;0;;;;;0;;;;;;;;;;;;0;;0;0;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;Pumpe PX14
100;29;26.02.2019;00:00:00;SAP_WFRT;;;KV;KV;;FERT;M;1;MDCCALMASS;ST;;;;;;;;0;;;10 X 10 X 12;Stahl / Steel;;;;1;0;KG;0;M3;;;;;1;;0;;15752767917;0;;;;;;;;;0;0;0;;;;;;0;;0;;0;0;;;;;;0;0;;;;;;;;MDCCAL;;;;;52;;;;;;;0;0;0;;0;USD;;0;;0;;;;;;;;;;;;;;;;;;0;T;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;;0;;;;;;;;;;;;;;;;00:00:00;29;Nicht entschieden;;;;;;;;;0;;;;;;;;;;;;0A7C457F45501ED98EB5DA18B089B3A8;2dn5VqLG7jcEjTeOi8cpg0;;;;;;;;0;0;0;0;;;;;;;;;;;;;0;;;;;;0;;0;0;0;0;0;0;0;0;;;0;0;0;;;;;;;;;;0;;0;0;0;0;0;0;;;;;0;;;;;;;;;;;;0;;0;0;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;Pumpe PX15
