MANDT;SPRAS;LAND1;REGIO;COUNC;BEZEI
100;ZH;DK;001;101;Koebenhavn skat&told
100;ZH;DK;001;102;Allerod
100;ZH;DK;001;103;Ballerup
100;ZH;DK;001;104;Bornholm
100;ZH;DK;001;105;Brondby
100;ZH;DK;001;106;Dragor
100;ZH;DK;001;107;Egedal
100;ZH;DK;001;108;Fredensborg
100;ZH;DK;001;109;Frederiksberg
100;ZH;DK;001;110;Frederikssund
100;ZH;DK;001;111;Frederiksvaerk-Hunde
100;ZH;DK;001;112;Fureso
100;ZH;DK;001;113;Gentofte
100;ZH;DK;001;114;Gladsaxe
100;ZH;DK;001;115;Glostrup
100;ZH;DK;001;116;Gribskov
100;ZH;DK;001;117;Helsingor
100;ZH;DK;001;118;Herlev
100;ZH;DK;001;119;Hillerod
100;ZH;DK;001;120;Hvidovre
100;ZH;DK;001;121;Hoje-Taastrup
100;ZH;DK;001;122;Horsholm
100;ZH;DK;001;123;Ishoj
100;ZH;DK;001;124;哥本哈根
100;ZH;DK;001;125;Lyngby-Tarbaek
100;ZH;DK;001;126;Rudersdal
100;ZH;DK;001;127;Rodovre
100;ZH;DK;001;128;Tarnby
100;ZH;DK;001;129;Vallensbaek
100;ZH;DK;002;201;Favrskov
100;ZH;DK;002;202;Hedensted
100;ZH;DK;002;203;Herning
100;ZH;DK;002;204;Holstebro
100;ZH;DK;002;205;Horsens
100;ZH;DK;002;206;Ikast-Brande
100;ZH;DK;002;207;Lemvig
100;ZH;DK;002;208;Norddjurs
100;ZH;DK;002;209;Odder
100;ZH;DK;002;210;Randers
100;ZH;DK;002;211;Ringkobing-Skjern
100;ZH;DK;002;212;Samso
100;ZH;DK;002;213;Silkeborg
100;ZH;DK;002;214;Skanderborg
100;ZH;DK;002;215;Skive
100;ZH;DK;002;216;Struer
100;ZH;DK;002;217;Syddjurs
100;ZH;DK;002;218;Viborg
100;ZH;DK;003;301;Bronderslev-Dronning
100;ZH;DK;003;302;Frederikshavn
100;ZH;DK;003;303;Hjorring
100;ZH;DK;003;304;Jammerbugt
100;ZH;DK;003;305;Laeso
100;ZH;DK;003;306;Mariagerfjord
100;ZH;DK;003;307;Morso
100;ZH;DK;003;308;Rebild
100;ZH;DK;003;309;Thisted
100;ZH;DK;003;310;Vesthimmerland
100;ZH;DK;003;311;Aalborg
100;ZH;DK;004;401;Faxe
100;ZH;DK;004;402;Greve
100;ZH;DK;004;403;Guldborgsund
100;ZH;DK;004;404;Holbaek
100;ZH;DK;004;405;Kalundborg
100;ZH;DK;004;406;Koge
100;ZH;DK;004;407;Lejre
100;ZH;DK;004;408;Lolland
100;ZH;DK;004;409;Naestved
100;ZH;DK;004;410;Odsherred
100;ZH;DK;004;411;Ringsted
100;ZH;DK;004;412;Roskilde
100;ZH;DK;004;413;Slagelse
100;ZH;DK;004;414;Solrod
100;ZH;DK;004;415;Soro
100;ZH;DK;004;416;Stevns
100;ZH;DK;004;417;Vordingborg
100;ZH;DK;005;501;Assens
100;ZH;DK;005;502;Billund
100;ZH;DK;005;503;Faaborg-Midtfyn
100;ZH;DK;005;504;Fano
100;ZH;DK;005;505;Frederica
100;ZH;DK;005;506;Haderslev
100;ZH;DK;005;507;Kerteminde
100;ZH;DK;005;508;Kolding
100;ZH;DK;005;509;Langeland
100;ZH;DK;005;510;Middelfart
100;ZH;DK;005;511;Nordfyn
100;ZH;DK;005;512;Nyborg
100;ZH;DK;005;513;Odense
100;ZH;DK;005;514;Svendborg
100;ZH;DK;005;515;Sonderborg
100;ZH;DK;005;516;Varde
100;ZH;DK;005;517;Vejen
100;ZH;DK;005;518;Vejle
100;ZH;DK;005;519;Aero
100;ZH;DK;005;520;Aabenraa
100;ZH;HK;HK;ABR;Aberdeen
100;ZH;HK;HK;APC;鸭脷洲
100;ZH;HK;HK;CBY;铜锣湾
100;ZH;HK;HK;CCH;长洲
100;ZH;HK;HK;CEN;中央
100;ZH;HK;HK;CHK;舂坎角
100;ZH;HK;HK;CW;柴湾
100;ZH;HK;HK;FOR;炮台山
100;ZH;HK;HK;HAP;跑马地
100;ZH;HK;HK;KOR;康怡
100;ZH;HK;HK;KT;坚尼地城
100;ZH;HK;HK;LAN;大屿山
100;ZH;HK;HK;LI;南丫岛
100;ZH;HK;HK;MID;半山
100;ZH;HK;HK;NP;北角
100;ZH;HK;HK;PFL;薄扶林
100;ZH;HK;HK;PSH;Ping Shau
100;ZH;HK;HK;QUA;侧鱼涌（采石湾）
100;ZH;HK;HK;REP;浅水湾
100;ZH;HK;HK;SHO;石奥
100;ZH;HK;HK;SKW;筲箕湾
100;ZH;HK;HK;SSW;小西湾
100;ZH;HK;HK;STN;赤柱
100;ZH;HK;HK;SW;上环
100;ZH;HK;HK;SWH;西湾河
100;ZH;HK;HK;SYP;西营盘
100;ZH;HK;HK;THG;大坑
100;ZH;HK;HK;TIN;天后
100;ZH;HK;HK;TKS;太古城
100;ZH;HK;HK;TTM;大潭
100;ZH;HK;HK;WCH;湾仔
100;ZH;HK;HK;WES;西区
100;ZH;HK;HK;WON;黄竹坑
100;ZH;HK;HK;WP;西环
100;ZH;HK;KLN;CH;彩虹
100;ZH;HK;KLN;CSW;长沙湾
100;ZH;HK;KLN;DIA;钻石山
100;ZH;HK;KLN;HM;红磡
100;ZH;HK;KLN;HMT;何文田
100;ZH;HK;KLN;JOR;约旦
100;ZH;HK;KLN;KBA;九龙湾
100;ZH;HK;KLN;KLC;九龙市
100;ZH;HK;KLN;KT;观塘
100;ZH;HK;KLN;KTG;九龙塘
100;ZH;HK;KLN;KWF;葵芳
100;ZH;HK;KLN;LCK;荔枝角
100;ZH;HK;KLN;LF;乐富
100;ZH;HK;KLN;LK;荔景
100;ZH;HK;KLN;LT;蓝田
100;ZH;HK;KLN;MF;美孚
100;ZH;HK;KLN;MKO;旺角
100;ZH;HK;KLN;NCW;牛池湾
100;ZH;HK;KLN;NTK;牛头角
