MANDT;BRSCH;BRTXT
100;0001;Standardbranche
100;0002;Branche 0002
100;0003;Branche 0003
100;01;Diversifiz. Holdings
100;02;Finanzdienstleist.
100;03;Immobilien
100;10;EnergVers./-verteil.
100;11;Öl und Gas
100;12;Rohstoffe
100;13;Edelmetalle
100;21;Chemie
100;22;Gesundheitswesen
100;23;Glas
100;24;Bauindustrie
100;25;Bauzulieferer
100;26;Papier/Zellstoff
100;27;Holz/Infrastruktur
100;31;Spinnerei, Weberei
100;32;Bekleidung
100;41;Eisen und Stahl
100;42;Fahrzeuge
100;43;Fahrzeuglieferant
100;44;Maschinenbau
100;45;Spezialmaschinenbau
100;46;Werkzeugmaschinenbau
100;47;Flugzeugbau
100;51;Brauereien, Getränke
100;52;Ernährung
100;61;ElekGer/ElekTechnik
100;62;Comp./Datenverarb.
100;63;Software
100;64;Telekommunikation
100;71;Konsumgüterindustrie
100;72;Verkehr und Transp.
100;73;Freizeit und Hotel
100;81;Geschäftsbanken
100;82;Hypothekenbanken
100;83;Lebensversicherungen
100;84;Sachversicherungen
100;85;Rückversicherungen
100;86;Versicherungshold.
100;91;Handel
100;92;Pharmahandel
100;93;Verlag und Medien
100;94;Umgebung
100;99;Sonstiges
