MANDT;SPRAS;BRSCH;BRTXT
100;ZH;0001;标准行业
100;ZH;0002;行业 0002
100;ZH;0003;行业 0003
100;ZH;01;多元化控股公司
100;ZH;02;金融服务
100;ZH;03;不动产
100;ZH;10;能源供应/分配
100;ZH;11;石油、天然气
100;ZH;12;原材料
100;ZH;13;贵金属
100;ZH;21;化工行业
100;ZH;22;健康
100;ZH;23;玻璃
100;ZH;24;建造业
100;ZH;25;建筑供应商
100;ZH;26;纸和纸浆
100;ZH;27;木材及基础设施
100;ZH;31;纺织厂、织造厂
100;ZH;32;服装
100;ZH;41;钢铁
100;ZH;42;车辆
100;ZH;43;车辆供应商
100;ZH;44;机械工程
100;ZH;45;专业技师
100;ZH;46;机床工程
100;ZH;47;飞机构造
100;ZH;51;啤酒、饮料
100;ZH;52;营养品
100;ZH;61;电气电子
100;ZH;62;计算机及数据处理
100;ZH;63;软件
100;ZH;64;电信
100;ZH;71;消费品
100;ZH;72;交通运输
100;ZH;73;休闲产业及酒店
100;ZH;81;商业银行
100;ZH;82;抵押银行
100;ZH;83;人寿保险
100;ZH;84;非人寿保险
100;ZH;85;再保险
100;ZH;86;保险控股
100;ZH;91;贸易
100;ZH;92;医药贸易
100;ZH;93;出版和传媒
100;ZH;94;环境
100;ZH;99;杂项
100;TH;0001;อุตสาหกรรมมาตรฐาน
100;TH;0002;อุตสาหกรรม 0002
100;TH;0003;อุตสาหกรรม 0003
100;TH;01;การถือหุ้นหลายกิจการ
100;TH;02;การบริการทางการเงิน
100;TH;03;อสังหาริมทรัพย์
100;TH;10;Energy Supply / Dist
100;TH;11;น้ำมัน, ก๊าซ
100;TH;12;วัตถุดิบ
100;TH;13;โลหะมีค่า
100;TH;21;อุตสาหกรรมเคมี
100;TH;22;สุขภาพ
100;TH;23;กระจก
100;TH;24;อุตสาหกรรมก่อสร้าง
100;TH;25;ผู้จัดหาอาคาร
100;TH;26;กระดาษและเยื่อกระดาษ
100;TH;27;Timber and Infrastru
100;TH;31;โรงปั่นด้าย,โรงทอผ้า
100;TH;32;เครื่องแต่งกาย
100;TH;41;เหล็กและเหล็กกล้า
100;TH;42;ยานพาหนะ
100;TH;43;ผู้จัดหายานพาหนะ
100;TH;44;วิศวกรรมเครื่องกล
100;TH;45;ช่างผู้ชำนาญ
100;TH;46;วิศวกรรมเครื่องมือกล
100;TH;47;โครงสร้างอากาศยาน
100;TH;51;โรงกลั่น,เครื่องดื่ม
100;TH;52;โภชนาการ
100;TH;61;ไฟฟ้า/อิเล็กทรอนิกส์
100;TH;62;Computers and Data P
100;TH;63;ซอฟต์แวร์
100;TH;64;โทรคมนาคม
100;TH;71;สินค้าอุปโภคบริโภค
100;TH;72;การจราจรและการขนส่ง
100;TH;73;สันทนาการและโรงแรม
100;TH;81;ธนาคารพาณิชย์
100;TH;82;ธนาคารรับจำนอง
100;TH;83;การประกันชีวิต
100;TH;84;การประกันวินาศภัย
