MANDT;SPRAS;MATKL;WGBEZ;WGBEZ60
100;ZH;01;物料组1;
100;ZH;02;物料组 2;
100;ZH;A001;账面已开票;账面待开票物料组
100;ZH;A002;账面已使用;账面待使用物料组
100;ZH;B001;一次性信用;物料组一次性信用
100;ZH;B002;云收入;物料组云收入
100;ZH;E001;住宿;物料组服务 - 住宿
100;ZH;E002;机票;物料组 - 机票
100;ZH;E003;陆地运输;物料组 - 差旅成本
100;ZH;E004;差旅费用杂项;物料组 - 差旅费用杂项
100;ZH;L001;贸易商品;物料组 - 贸易商品
100;ZH;L002;原材料;物料组原材料
100;ZH;L003;半成品;物料组半成品
100;ZH;L004;成品;物料组成品
100;ZH;L005;未评估物料;物料组未评估物料
100;ZH;L006;可回收包装;物料组可回收包装物料
100;ZH;L007;许可证;物料组许可证
100;ZH;L008;硬件;硬件物料组
100;ZH;P000;合同类型;物料组 - 合同类型
100;ZH;P001;服务;物料组 - 服务
100;ZH;P002;费用;物料组 - 费用
100;ZH;P003;定期服务;物料组定期服务
100;ZH;YBFA01;不动产（土地）;物料组不动产（土地）
100;ZH;YBFA02;建筑物;物料组建筑物
100;ZH;YBFA03;土地改良;物料组土地改良
100;ZH;YBFA04;租赁权改进;物料组租赁权改进
100;ZH;YBFA05;机器设备;物料组机器设备
100;ZH;YBFA06;固定设备和装置;物料组固定设备和装置
100;ZH;YBFA07;车辆;物料组车辆
100;ZH;YBFA08;计算机硬件;物料组计算机硬件
100;ZH;YBFA09;计算机软件;物料组计算机软件
100;ZH;YBFA10;低值资产;物料组低值资产
100;ZH;YBFA11;其他无形资产;物料组其他无形资产
100;ZH;YBFA12;办公设备;物料组办公设备
100;ZH;YBMM00;无标识的非库存物料;无标识的非库存物料
100;ZH;YBMM01;有标识的非库存物料;有标识的非库存物料
100;ZH;YBPM01;备件;备件物料组
100;ZH;YBPM02;备件服务;备件服务物料组
100;TH;01;กลุ่มวัสดุ 1;
100;TH;02;กลุ่มวัสดุ 2;
100;TH;A001;วางบิลในบัญชี;กลุ่มวัสดุในบัญชีที่จะวางบิล
100;TH;A002;ใช้ในบัญชี;กลุ่มวัสดุในบัญชีที่จะใช้
100;TH;B001;One Time Credit;กลุ่มวัสดุ - สินเชื่อที่ใช้ได้ครั้งเดียว
100;TH;B002;Cloud - รายได้;กลุ่มวัสดุ - รายได้ของ Cloud
100;TH;E001;ที่พัก;กลุ่มวัสดุ - ที่พัก
100;TH;E002;ค่าโดยสารเครื่องบิน;กลุ่มวัสดุ - ค่าโดยสารเครื่องบิน
100;TH;E003;การขนส่งภาคพื้นดิน;กลุ่มวัสดุ - การขนส่งภาคพื้นดิน
100;TH;E004;Travel Expenses misc;กลุ่มวัสดุ - ค่าใช้จ่ายการเดินทางเบ็ดเตล็ด
100;TH;L001;วัสดุเพื่อการค้า;กลุ่มวัสดุ - วัสดุเพื่อการค้า
100;TH;L002;วัตถุดิบ;กลุ่มวัสดุ - วัตถุดิบ
100;TH;L003;สินค้ากึ่งสำเร็จรูป;กลุ่มวัสดุ - สินค้ากึ่งสำเร็จรูป
100;TH;L004;สินค้าสำเร็จรูป;กลุ่มวัสดุ - สินค้าสำเร็จรูป
100;TH;L005;Unvaluated Materials;กลุ่มวัสดุ - วัสดุที่ไม่ประเมินราคา
100;TH;L006;บรรจุภัณฑ์ที่คืนได้;กลุ่มวัสดุ - วัสดุบรรจุภัณฑ์ที่คืนได้
100;TH;L007;ใบอนุญาต;กลุ่มวัสดุ - ใบอนุญาต
100;TH;L008;ฮาร์ดแวร์;กลุ่มวัสดุสำหรับฮาร์ดแวร์
100;TH;P000;ประเภทสัญญา;กลุ่มวัสดุ - ประเภทสัญญา
100;TH;P001;การบริการ;กลุ่มวัสดุ - การบริการ
100;TH;P002;ค่าใช้จ่าย;กลุ่มวัสดุ - ค่าใช้จ่าย
100;TH;P003;การบริการเป็นระยะ;กลุ่มวัสดุ - การบริการเป็นระยะ
100;TH;YBFA01;อสังหาฯ (ที่ดิน);กลุ่มวัสดุ - อสังหาริมทรัพย์ (ที่ดิน)
100;TH;YBFA02;อาคาร;กลุ่มวัสดุ - อาคาร
100;TH;YBFA03;การปรับปรุงที่ดิน;กลุ่มวัสดุ - การปรับปรุงที่ดิน
100;TH;YBFA04;Leasehold Improvemen;กลุ่มวัสดุ - การปรับปรุงสินทรัพย์ตามสิทธิการเช่า
100;TH;YBFA05;เครื่องจักร&อุปกรณ์;กลุ่มวัสดุ - เครื่องจักรและอุปกรณ์
100;TH;YBFA06;Fixtures Fittings;กลุ่มวัสดุ - อุปกรณ์ตกแต่งและติดตั้ง
100;TH;YBFA07;ยานพาหนะ;กลุ่มวัสดุ - ยานพาหนะ
100;TH;YBFA08;ฮาร์ดแวร์คอมพิวเตอร์;กลุ่มวัสดุ - ฮาร์ดแวร์คอมพิวเตอร์
100;TH;YBFA09;ซอฟต์แวร์คอมพิวเตอร์;กลุ่มวัสดุ - ซอฟต์แวร์คอมพิวเตอร์
100;TH;YBFA10;สินทรัพย์มูลค่าต่ำ;กลุ่มวัสดุ - สินทรัพย์มูลค่าต่ำ
100;TH;YBFA11;ส/ทอื่นที่ไม่มีตัวตน;กลุ่มวัสดุ - สินทรัพย์อื่นที่ไม่มีตัวตน
100;TH;YBFA12;อุปกรณ์สำนักงาน;กลุ่มวัสดุ - อุปกรณ์สำนักงาน
100;TH;YBMM00;Non-Sto Mat. w.o ID;วัสดุแบบไม่เก็บสต็อคที่ไม่มี ID
100;TH;YBMM01;Non-Sto Mat. w. ID;วัสดุแบบไม่เก็บสต็อคที่มี ID
100;TH;YBPM01;อะไหล่;กลุ่มวัสดุสำหรับอะไหล่
100;TH;YBPM02;การบริการอะไหล่;กลุ่มวัสดุสำหรับการบริการอะไหล่
100;KO;01;자재그룹 1;
100;KO;02;자재그룹 2;
100;KO;A001;청구된 계정 입금;자재 그룹 - 청구할 계정 입금
100;KO;A002;이용된 계정 입금;자재 그룹 - 이용할 계정 입금
100;KO;B001;일회성 여신;자재 그룹 일회성 여신
100;KO;B002;클라우드 수익;자재 그룹 클라우드 수익
100;KO;E001;숙박;자재 그룹 - 숙박
100;KO;E002;항공 요금;자재 그룹 - 항공 요금
100;KO;E003;육상 운송;자재 그룹 - 육상 운송
100;KO;E004;기타 출장비;자재 그룹 - 기타 출장비
100;KO;L001;거래 자재;자재 그룹 - 거래 자재
100;KO;L002;원자재;자재 그룹 - 원자재
100;KO;L003;반제품;자재 그룹 - 반제품
100;KO;L004;완제품;자재 그룹 - 완제품
100;KO;L005;비평가 자재;자재 그룹 - 비평가 자재
100;KO;L006;반환용 포장재;자재 그룹 - 반환용 포장재
100;KO;L007;라이센스;자재 그룹 라이센스
100;KO;L008;하드웨어;하드웨어의 자재 그룹
100;KO;P000;계약 유형;자재 그룹 - 계약 유형
100;KO;P001;서비스;자재 그룹 - 서비스
100;KO;P002;비용;자재 그룹 - 비용
100;KO;P003;정기 서비스;자재 그룹 정기 서비스
