MANDT;VBELN;ERDAT;ERZET;ERNAM;ANGDT;BNDDT;AUDAT;VBTYP;TRVOG;AUART;AUGRU;GWLDT;SUBMI;LIFSK;FAKSK;NETWR;WAERK;VKORG;VTWEG;SPART;VKGRP;VKBUR;GSBER;GSKST;GUEBG;GUEEN;KNUMV;VDATU;VPRGR;AUTLF;VBKLA;VBKLT;KALSM;VSBED;FKARA;AWAHR;KTEXT;BSTNK;BSARK;BSTDK;BSTZD;IHREZ;BNAME;TELF1;MAHZA;MAHDT;KUNNR;KOSTL;STAFO;STWAE;AEDAT;KVGR1;KVGR2;KVGR3;KVGR4;KVGR5;KNUMA;KOKRS;PS_PSP_PNR;KURST;KKBER;KNKLI;GRUPP;SBGRP;CTLPC;CMWAE;CMFRE;CMNUP;CMNGV;AMTBL;HITYP_PR;ABRVW;ABDIS;VGBEL;OBJNR;BUKRS_VF;TAXK1;TAXK2;TAXK3;TAXK4;TAXK5;TAXK6;TAXK7;TAXK8;TAXK9;XBLNR;ZUONR;VGTYP;KALSM_CH;AGRZR;AUFNR;QMNUM;VBELN_GRP;SCHEME_GRP;ABRUF_PART;ABHOD;ABHOV;ABHOB;RPLNR;VZEIT;STCEG_L;LANDTX;XEGDR;ENQUEUE_GRP;DAT_FZAU;FMBDAT;VSNMR_V;HANDLE;PROLI;CONT_DG;CRM_GUID;UPD_TMSTMP;MSR_ID;TM_CTRL_KEY;OIPBL;LAST_CHANGED_BY_USER;HANDOVERLOC;EXT_BUS_SYST_ID;EXT_REF_DOC_ID;EXT_REV_TMSTMP;APM_APPROVAL_STATUS;APM_APPROVAL_REASON;APM_REJECTION_REASON;_DATAAGING;ABSTK;BESTK;CMPSC;CMPSD;CMPSI;CMPSJ;CMPSK;CMPS_CM;CMPS_TE;CMGST;COSTA;DCSTK;FKSAK;FMSTK;FSSTK;GBSTK;LFGSK;LFSTK;LSSTK;MANEK;RFGSK;RFSTK;SPSTG;TRSTA;UVALL;UVALS;UVFAK;UVFAS;UVPRS;UVVLK;UVVLS;UVK01;UVK02;UVK03;UVK04;UVK05;UVS01;UVS02;UVS03;UVS04;UVS05;WBSTK;TOTAL_EMCST;TOTAL_SLCST;TOTAL_LCCST;TOTAL_PCSTA;TOTAL_DGSTA;TOTAL_SDSSTA;DP_CLEAR_STA_HDR;DUMMY_SALESDOC_INCL_EEW_PS;ZAPCGKH;APCGK_EXTENDH;ZABDATH;AD01FAREG;AD01BASDOC;LASTVCHR;PSM_BUDAT;FSH_KVGR6;FSH_KVGR7;FSH_KVGR8;FSH_KVGR9;FSH_KVGR10;FSH_REREG;FSH_CQ_CHECK;FSH_VRSN_STATUS;FSH_TRANSACTION;FSH_VAS_CG;FSH_CANDATE;FSH_SS;FSH_OS_STG_CHANGE;J_3GKBAUL;MILL_APPL_ID;TAS;BETC;MOD_ALLOW;CANCEL_ALLOW;PAY_METHOD;BPN;REP_FREQ;LOGSYSB;KALCD;MULTI;SPPAYM;WTYSC_CLM_HDR
100;2;06.10.2017;22:52:32;BPINST;;;06.10.2017;C;0;TA;;;;;;175.50;USD;1710;10;00;;;;;;;0000000002;06.10.2017;1;;;;Y17J01;01;F2;100;;XYZ;;06.10.2017;;;;999-654-2356;0;;17100003;;;USD;;;;;;;;A000;;M;A000;17100003;;;;USD;;;;0;;;;;;1710;;;;;;;;;;;;;YB0001;0;;;;;;;00:00:00;00:00:00;;00:00:00;;;;;;;;2joT4oH87kUgtI4jrkck60;;;;19.10.2017 13:00;;;;S4H_SD;;;;00.01.1900 00:00;;;;;A;;;;;;;;;;;;;;;C;C;C;;;;;;;C;C;C;C;C;C;C;;;;;;;;;;;;;;;;;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;4;08.10.2017;23:42:28;BPINST;;;08.10.2017;C;0;TA;;;;;;20020;USD;1710;10;00;;;;;;;0000000004;08.10.2017;1;;;;Y17J01;01;F2;100;;4500045090;;;;;;;0;;USCU_L10;;;USD;;;;;;;;A000;;M;A000;USCU_L10;;;;USD;;;;0;;;;;;1710;;;;;;;;;;;;;YB0001;0;;;;;;;00:00:00;00:00:00;;00:00:00;;;;;;;;2joT4oH87jUha4nUCyHR1m;;;;08.10.2017 23:42;;;;BPINST;;;;00.01.1900 00:00;;;;;A;;;;;;;;;;;;;;;C;C;C;;;;;;;C;C;C;C;C;C;C;;;;;;;;;;;;;;;;;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;22;08.10.2017;23:59:02;BPINST;;;08.10.2017;C;0;TA;;;;;;9170;USD;1710;10;00;;;;;;;0000000022;09.10.2017;1;;;;Y17J01;01;F2;100;;4500045091;;;;;;;0;;USCU_L10;;;USD;;;;;;;;A000;;M;A000;USCU_L10;;;;USD;;;;0;;;;;;1710;;;;;;;;;;;;;YB0001;0;;;;;;;00:00:00;00:00:00;;00:00:00;;;;;;;;2joT4oH87jUha9KFFiIRh0;;;;08.10.2017 23:59;;;;BPINST;;;;00.01.1900 00:00;;;;;A;;;;;;;;;;;;;;;C;C;C;;;;;;;C;C;C;C;C;C;C;;;;;;;;;;;;;;;;;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;23;08.10.2017;23:59:04;BPINST;;;08.10.2017;C;0;TA;;;;;;9380;USD;1710;10;00;;;;;;;0000000023;09.10.2017;1;;;;Y17J01;01;F2;100;;4500045060;;;;;;;0;;USCU_S07;;;USD;;;;;;;;A000;;M;A000;USCU_S07;;;;USD;;;;0;;;;;;1710;;;;;;;;;;;;;YB0001;0;;;;;;;00:00:00;00:00:00;;00:00:00;;;;;;;;2joT4oH87jUha9KrTj5Rh0;;;;08.10.2017 23:59;;;;BPINST;;;;00.01.1900 00:00;;;;;A;;;;;;;;;;;;;;;C;C;C;;;;;;;C;C;C;C;C;C;C;;;;;;;;;;;;;;;;;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;24;08.10.2017;23:59:33;BPINST;;;08.10.2017;C;0;TA;;;;;;3990;USD;1710;10;00;;;;;;;0000000024;09.10.2017;1;;;;Y17J01;01;F2;100;;4500044999;;;;;;;0;;USCU_S03;;;USD;;;;;;;;A000;;M;A000;USCU_S03;;;;USD;;;;0;;;;;;1710;;;;;;;;;;;;;YB0001;0;;;;;;;00:00:00;00:00:00;;00:00:00;;;;;;;;2joT4oH87jUha9TT9qwxh0;;;;08.10.2017 23:59;;;;BPINST;;;;00.01.1900 00:00;;;;;A;;;;;;;;;;;;;;;C;C;C;;;;;;;C;C;C;C;C;C;C;;;;;;;;;;;;;;;;;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;25;08.10.2017;23:59:33;BPINST;;;08.10.2017;C;0;TA;;;;;;1470;USD;1710;10;00;;;;;;;0000000025;09.10.2017;1;;;;Y17J01;01;F2;100;;4500045122;;;;;;;0;;USCU_S15;;;USD;;;;;;;;A000;;M;A000;USCU_S15;;;;USD;;;;0;;;;;;1710;;;;;;;;;;;;;YB0001;0;;;;;;;00:00:00;00:00:00;;00:00:00;;;;;;;;2joT4oH87jUha9TT9r8Rh0;;;;08.10.2017 23:59;;;;BPINST;;;;00.01.1900 00:00;;;;;A;;;;;;;;;;;;;;;C;C;C;;;;;;;C;C;C;C;C;C;C;;;;;;;;;;;;;;;;;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;26;08.10.2017;23:59:33;BPINST;;;08.10.2017;C;0;TA;;;;;;15890;USD;1710;10;00;;;;;;;0000000026;09.10.2017;1;;;;Y17J01;01;F2;100;;4500045030;;;;;;;0;;USCU_L04;;;USD;;;;;;;;A000;;M;A000;USCU_L04;;;;USD;;;;0;;;;;;1710;;;;;;;;;;;;;YB0001;0;;;;;;;00:00:00;00:00:00;;00:00:00;;;;;;;;2joT4oH87jUha9TT9rLxh0;;;;08.10.2017 23:59;;;;BPINST;;;;00.01.1900 00:00;;;;;A;;;;;;;;;;;;;;;C;C;C;;;;;;;C;C;C;C;C;C;C;;;;;;;;;;;;;;;;;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;27;08.10.2017;23:59:33;BPINST;;;08.10.2017;C;0;TA;;;;;;13020;USD;1710;10;00;;;;;;;0000000027;09.10.2017;1;;;;Y17J01;01;F2;100;;4500044968;;;;;;;0;;USCU_L02;;;USD;;;;;;;;A000;;M;A000;USCU_L02;;;;USD;;;;0;;;;;;1710;;;;;;;;;;;;;YB0001;0;;;;;;;00:00:00;00:00:00;;00:00:00;;;;;;;;2joT4oH87jUha9TT9rZRh0;;;;08.10.2017 23:59;;;;BPINST;;;;00.01.1900 00:00;;;;;A;;;;;;;;;;;;;;;C;C;C;;;;;;;C;C;C;C;C;C;C;;;;;;;;;;;;;;;;;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;28;08.10.2017;23:59:34;BPINST;;;08.10.2017;C;0;TA;;;;;;9120;USD;1710;10;00;;;;;;;0000000028;09.10.2017;1;;;;Y17J01;01;F2;100;;4500045276;;;;;;;0;;USCU_L09;;;USD;;;;;;;;A000;;M;A000;USCU_L09;;;;USD;;;;0;;;;;;1710;;;;;;;;;;;;;YB0001;0;;;;;;;00:00:00;00:00:00;;00:00:00;;;;;;;;2joT4oH87jUha9TnJ8hxh0;;;;08.10.2017 23:59;;;;BPINST;;;;00.01.1900 00:00;;;;;A;;;;;;;;;;;;;;;C;C;C;;;;;;;C;C;C;C;C;C;C;;;;;;;;;;;;;;;;;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;29;08.10.2017;23:59:34;BPINST;;;08.10.2017;C;0;TA;;;;;;4320;USD;1710;10;00;;;;;;;0000000029;09.10.2017;1;;;;Y17J01;01;F2;100;;4500045184;;;;;;;0;;USCU_S05;;;USD;;;;;;;;A000;;M;A000;USCU_S05;;;;USD;;;;0;;;;;;1710;;;;;;;;;;;;;YB0001;0;;;;;;;00:00:00;00:00:00;;00:00:00;;;;;;;;2joT4oH87jUha9TnJ8vRh0;;;;08.10.2017 23:59;;;;BPINST;;;;00.01.1900 00:00;;;;;A;;;;;;;;;;;;;;;C;C;C;;;;;;;C;C;C;C;C;C;C;;;;;;;;;;;;;;;;;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
