MANDT;VBELN;POSNR;MATNR;MATWA;PMATN;CHARG;MATKL;ARKTX;PSTYV;POSAR;LFREL;FKREL;UEPOS;GRPOS;ABGRU;PRODH;PRODH_UNIV_SALES_PARNT_NODID;PRODH_UNIV_SALES_DET_ORIGIN;PRODH_UNIV_BATDET_PARNT_NODID;PRODH_UNIV_BATDET_DET_ORIGIN;ZWERT;ZMENG;ZIEME;UMZIZ;UMZIN;MEINS;SMENG;ABLFZ;ABDAT;ABSFZ;POSEX;KDMAT;KBVER;KEVER;VKGRU;VKAUS;GRKOR;FMENG;UEBTK;UEBTO;UNTTO;FAKSP;ATPKZ;RKFKF;SPART;GSBER;NETWR;WAERK;ANTLF;KZTLF;CHSPL;KWMENG;LSMENG;KBMENG;KLMENG;VRKME;UMVKZ;UMVKN;BRGEW;NTGEW;GEWEI;VOLUM;VOLEH;VBELV;POSNV;VGBEL;VGPOS;VOREF;UPFLU;ERLRE;LPRIO;WERKS;LGORT;VSTEL;ROUTE;STKEY;STDAT;STLNR;STPOS;AWAHR;ERDAT;ERNAM;ERZET;TAXM1;TAXM2;TAXM3;TAXM4;TAXM5;TAXM6;TAXM7;TAXM8;TAXM9;VBEAF;VBEAV;VGREF;NETPR;KPEIN;KMEIN;SHKZG;SKTOF;MTVFP;SUMBD;KONDM;KTGRM;BONUS;PROVG;EANNR;PRSOK;BWTAR;BWTEX;XCHPF;XCHAR;LFMNG;STAFO;WAVWR;KZWI1;KZWI2;KZWI3;KZWI4;KZWI5;KZWI6;STCUR;AEDAT;EAN11;FIXMG;PRCTR;MVGR1;MVGR2;MVGR3;MVGR4;MVGR5;KMPMG;SUGRD;SOBKZ;VPZUO;PAOBJNR;PS_PSP_PNR;AUFNR;VPMAT;VPWRK;PRBME;UMREF;KNTTP;KZVBR;SERNR;OBJNR;ABGRS;BEDAE;CMPRE;CMTFG;CMPNT;CMKUA;CUOBJ;CUOBJ_CH;CEPOK;KOUPD;SERAIL;ANZSN;NACHL;MAGRV;MPROK;VGTYP;PROSA;UEPVW;KALNR;KLVAR;SPOSN;KOWRR;STADAT;EXART;PREFE;KNUMH;CLINT;CHMVS;STLTY;STLKN;STPOZ;STMAN;ZSCHL_K;KALSM_K;KALVAR;KOSCH;UPMAT;UKONM;MFRGR;PLAVO;KANNR;CMPRE_FLT;ABFOR;ABGES;J_1BCFOP;J_1BTAXLW1;J_1BTAXLW2;J_1BTXSDC;WKTNR;WKTPS;SKOPF;KZBWS;WGRU1;WGRU2;KNUMA_PI;KNUMA_AG;KZFME;LSTANR;TECHS;MWSBP;BERID;PCTRF;LOGSYS_EXT;J_1BTAXLW3;J_1BTAXLW4;J_1BTAXLW5;STOCKLOC;SLOCTYPE;MSR_RET_REASON;MSR_REFUND_CODE;MSR_APPROV_BLOCK;NRAB_KNUMH;TRMRISK_RELEVANT;SGT_RCAT;VBKD_POSNR;VEDA_POSNR;HANDOVERLOC;EXT_REF_ITEM_ID;HANDOVERDATE;HANDOVERTIME;TC_AUT_DET;MANUAL_TC_REASON;FISCAL_INCENTIVE;TAX_SUBJECT_ST;FISCAL_INCENTIVE_ID;SPCSTO;REVACC_REFID;REVACC_REFTYPE;_DATAAGING;ABSTA;BESTA;CMPPI;CMPPJ;COSTA;DCSTA;FKSAA;FSSTA;GBSTA;LFGSA;LFSTA;LSSTA;MANEK;RFGSA;RFSTA;UVALL;UVFAK;UVPRS;UVVLK;UVP01;UVP02;UVP03;UVP04;UVP05;WBSTA;EMCST;SLCST;TOTAL_LCCST;PCSTA;DGSTA;SDSSTA;DP_CLEAR_STA_ITM;CMTD_DELIV_DATE;CMTD_DELIV_CREADATE;CMTD_DELIV_QTY_SU;REQQTY_BU;HANDLE;PBS_STATE;IFRS15_RELEVANCE;IFRS15_TOTAL_SSP;REVFP;CAPPED_NET_AMOUNT;CAPPED_NET_AMOUNT_ALERT_THLD;CATS_OVERTIME_CATEGORY;SESSION_CREATION_DATE;SESSION_CREATION_TIME;ORIGINAL_PLANT;ATP_ABC_SUBSTITUTION_STATUS;DUMMY_SLSDOCITEM_INCL_EEW_PS;PO_QUAN;PO_UNIT;MILL_SE_GPOSN;MILL_BATCH_SEL_F;CPD_UPDAT;ZAPCGKI;APCGK_EXTENDI;ZABDATI;AUFPL_OLC;APLZL_OLC;AD01PROFNR;ADMOI;ADICC;ADPRI;ADDNS;ADACN;LABSG;FABSG;PR_L_L;PR_F_F;PR_F_L;FERC_IND;FSH_SEASON_YEAR;FSH_SEASON;FSH_COLLECTION;FSH_THEME;FSH_CRSD;FSH_SEAREF;FSH_CANDATE;FSH_PSM_PFM_SPLIT;FSH_VAS_REL;FSH_VAS_PRNT_ID;FSH_TRANSACTION;FSH_ITEM_GROUP;FSH_ITEM;FSH_VASREF;FSH_GRID_COND_REC;FSH_PQR_UEPOS;RFM_SCC_INDICATOR;KOSTL;FONDS;FISTL;FKBER;GRANT_NBR;BUDGET_PD;IUID_RELEVANT;EQUNR;EQART;J_3GLVART;J_3GDATVO;J_3GDATBI;J_3GBELNRI;J_3GPOSNRI;PRS_OBJNR;PRS_SD_SPSNR;PRS_WORK_PERIOD;TAS;BETC;MOD_ALLOW;CANCEL_ALLOW;PAY_METHOD;BPN;REP_FREQ;FMFGUS_KEY;RFM_PSST_RULE;RFM_PSST_GROUP;PARGB;AUFPL_OAA;APLZL_OAA;VLCENDCU;WRF_CHARSTC1;WRF_CHARSTC2;WRF_CHARSTC3;ARSNUM;ARSPOS;WTYSC_CLMITEM
100;2;10;TG11;TG11;;;L001;Trad.Good 11,PD,Reg.Trading;TAN;;;A;0;0;;;;;;;0;0;ST;1;1;ST;0;0;;0;;;0;0;;;0;;;0;0;;;;00;;175.5;USD;0;;;10;10;10;10;ST;1;1;10;1000;KG;10;M3;;0;;0;;;;2;1710;;1710;TR0002;;;;0;100;06.10.2017;BPINST;22:52:32;1;;;;;;;;;0;0;;17.55;1;ST;;X;SR;A;;01;;;;X;;;;;0;;135;175.5;175.5;175.5;0;0;0;1.00000;19.10.2017;;;YB700;;;;;;0;;;1;6;;;;;;0;;;;;SFS;KSV;18.25;;X;1.00000;0;0;;;;0;;;;;;;0;;;;;;;;0;0;;0;0;;;;;;;;;;;18.2520000000000000;;0;;;;;;0;;;;;;;;;;7.02;1710;;S4HEWM100;;;;;;;;;;;;0;0;;;;00:00:00;;;;;;0;;;;A;;;;;;;;C;C;C;;;;;C;C;C;C;;;;;;;;;;;;;;;;0;10;0ADC9D1324481EE7AADD212DD6E9CE18;;;0;;0;0;;;00:00:00;;;;0;;0;;10/19/2017 06:00:10;0;0;;0;0;;;0;;;;;;;;;;;;;;;;;;;0;;0;0;;;0;;;;;;;;;;;;;;;0;;;0000000;;;;;;;;;;;;0;0;;;;;0;0;
100;4;10;MZ-TG-Y120;MZ-TG-Y120;;;ZYOUTH;Y120 Bike;TAN;;;A;0;0;;;;;;;0;0;ST;1;1;ST;0;0;;0;;;0;0;;;0;;;0;0;;;;00;;20020;USD;0;;;286;286;286;286;ST;1;1;286;257.4;G;0;;;0;;0;;;;0;1710;;1710;;;;;0;100;08.10.2017;BPINST;23:42:28;0;;;;;;;;;0;0;;70;1;ST;;X;02;;;01;;;;X;;;;;0;;11685.96;20020;20020;20020;0;0;0;1.00000;;;;US10_TGY1;;;;;;0;;;1;12;;;;;;0;;;;;SFS;KSV;70;;X;1.00000;0;0;;;;0;;;;;;;0;;;;;;;;0;0;;0;0;;;;;;;;;;;70.0000000000000000;;0;;;;;;0;;;;;;;;;;0;1710;;S4HEWM100;;;;;;;;;;;;0;0;;;;00:00:00;;;;;;0;;;;A;;;;;;;;C;C;C;;;;;C;C;C;C;;;;;;;;;;;;;;;;0;286;0ADC9D1324481ED7AB904C5E33C51B07;;;0;;0;0;;;00:00:00;;;;0;;0;;10/08/2017 16:42:47;0;0;;0;0;;;0;;;;;;;;;;;;;;;;;;;0;;0;0;;;0;;;;;;;;;;;;;;;0;;;0000000;;;;;;;;;;;;0;0;;;;;0;0;
100;22;10;MZ-TG-Y120;MZ-TG-Y120;;;ZYOUTH;Y120 Bike;TAN;;;A;0;0;;;;;;;0;0;ST;1;1;ST;0;0;;0;;;0;0;;;0;;;0;0;;;;00;;9170;USD;0;;;131;131;131;131;ST;1;1;131;117.9;G;0;;;0;;0;;;;0;1710;;1710;;;;;0;100;08.10.2017;BPINST;23:59:02;0;;;;;;;;;0;0;;70;1;ST;;X;02;;;01;;;;X;;;;;0;;5352.66;9170;9170;9170;0;0;0;1.00000;;;;US10_TGY1;;;;;;0;;;1;66;;;;;;0;;;;;SFS;KSV;70;;X;1.00000;0;0;;;;0;;;;;;;0;;;;;;;;0;0;;0;0;;;;;;;;;;;70.0000000000000000;;0;;;;;;0;;;;;;;;;;0;1710;;S4HEWM100;;;;;;;;;;;;0;0;;;;00:00:00;;;;;;0;;;;A;;;;;;;;C;C;C;;;;;C;C;C;C;;;;;;;;;;;;;;;;0;131;0ADC9D1324481ED7AB90950F3EC55BAC;;;0;;0;0;;;00:00:00;;;;0;;0;;10/08/2017 16:59:03;0;0;;0;0;;;0;;;;;;;;;;;;;;;;;;;0;;0;0;;;0;;;;;;;;;;;;;;;0;;;0000000;;;;;;;;;;;;0;0;;;;;0;0;
100;23;10;MZ-TG-Y120;MZ-TG-Y120;;;ZYOUTH;Y120 Bike;TAN;;;A;0;0;;;;;;;0;0;ST;1;1;ST;0;0;;0;;;0;0;;;0;;;0;0;;;;00;;9380;USD;0;;;134;134;134;134;ST;1;1;134;120.6;G;0;;;0;;0;;;;0;1710;;1710;;;;;0;100;08.10.2017;BPINST;23:59:32;0;;;;;;;;;0;0;;70;1;ST;;X;02;;;01;;;;X;;;;;0;;5475.24;9380;9380;9380;0;0;0;1.00000;;;;US10_TGY1;;;;;;0;;;1;69;;;;;;0;;;;;SFS;KSV;70;;X;1.00000;0;0;;;;0;;;;;;;0;;;;;;;;0;0;;0;0;;;;;;;;;;;70.0000000000000000;;0;;;;;;0;;;;;;;;;;0;1710;;S4HEWM100;;;;;;;;;;;;0;0;;;;00:00:00;;;;;;0;;;;A;;;;;;;;C;C;C;;;;;C;C;C;C;;;;;;;;;;;;;;;;0;134;0ADC9D1324481ED7AB90975D274BDBAC;;;0;;0;0;;;00:00:00;;;;0;;0;;10/08/2017 16:59:33;0;0;;0;0;;;0;;;;;;;;;;;;;;;;;;;0;;0;0;;;0;;;;;;;;;;;;;;;0;;;0000000;;;;;;;;;;;;0;0;;;;;0;0;
100;24;10;MZ-TG-Y120;MZ-TG-Y120;;;ZYOUTH;Y120 Bike;TAN;;;A;0;0;;;;;;;0;0;ST;1;1;ST;0;0;;0;;;0;0;;;0;;;0;0;;;;00;;3990;USD;0;;;57;57;57;57;ST;1;1;57;51.3;G;0;;;0;;0;;;;0;1710;;1710;;;;;0;100;08.10.2017;BPINST;23:59:33;0;;;;;;;;;0;0;;70;1;ST;;X;02;;;01;;;;X;;;;;0;;2329.02;3990;3990;3990;0;0;0;1.00000;;;;US10_TGY1;;;;;;0;;;1;72;;;;;;0;;;;;SFS;KSV;70;;X;1.00000;0;0;;;;0;;;;;;;0;;;;;;;;0;0;;0;0;;;;;;;;;;;70.0000000000000000;;0;;;;;;0;;;;;;;;;;0;1710;;S4HEWM100;;;;;;;;;;;;0;0;;;;00:00:00;;;;;;0;;;;A;;;;;;;;C;C;C;;;;;C;C;C;C;;;;;;;;;;;;;;;;0;57;0ADC9D1324481ED7AB90975D274F3BAC;;;0;;0;0;;;00:00:00;;;;0;;0;;10/08/2017 16:59:33;0;0;;0;0;;;0;;;;;;;;;;;;;;;;;;;0;;0;0;;;0;;;;;;;;;;;;;;;0;;;0000000;;;;;;;;;;;;0;0;;;;;0;0;
100;25;10;MZ-TG-Y120;MZ-TG-Y120;;;ZYOUTH;Y120 Bike;TAN;;;A;0;0;;;;;;;0;0;ST;1;1;ST;0;0;;0;;;0;0;;;0;;;0;0;;;;00;;1470;USD;0;;;21;21;21;21;ST;1;1;21;18.9;G;0;;;0;;0;;;;0;1710;;1710;;;;;0;100;08.10.2017;BPINST;23:59:33;0;;;;;;;;;0;0;;70;1;ST;;X;02;;;01;;;;X;;;;;0;;858.06;1470;1470;1470;0;0;0;1.00000;;;;US10_TGY1;;;;;;0;;;1;75;;;;;;0;;;;;SFS;KSV;70;;X;1.00000;0;0;;;;0;;;;;;;0;;;;;;;;0;0;;0;0;;;;;;;;;;;70.0000000000000000;;0;;;;;;0;;;;;;;;;;0;1710;;S4HEWM100;;;;;;;;;;;;0;0;;;;00:00:00;;;;;;0;;;;A;;;;;;;;C;C;C;;;;;C;C;C;C;;;;;;;;;;;;;;;;0;21;0ADC9D1324481ED7AB90975D27529BAC;;;0;;0;0;;;00:00:00;;;;0;;0;;10/08/2017 16:59:33;0;0;;0;0;;;0;;;;;;;;;;;;;;;;;;;0;;0;0;;;0;;;;;;;;;;;;;;;0;;;0000000;;;;;;;;;;;;0;0;;;;;0;0;
100;26;10;MZ-TG-Y120;MZ-TG-Y120;;;ZYOUTH;Y120 Bike;TAN;;;A;0;0;;;;;;;0;0;ST;1;1;ST;0;0;;0;;;0;0;;;0;;;0;0;;;;00;;15890;USD;0;;;227;227;227;227;ST;1;1;227;204.3;G;0;;;0;;0;;;;0;1710;;1710;;;;;0;100;08.10.2017;BPINST;23:59:33;0;;;;;;;;;0;0;;70;1;ST;;X;02;;;01;;;;X;;;;;0;;9275.22;15890;15890;15890;0;0;0;1.00000;;;;US10_TGY1;;;;;;0;;;1;78;;;;;;0;;;;;SFS;KSV;70;;X;1.00000;0;0;;;;0;;;;;;;0;;;;;;;;0;0;;0;0;;;;;;;;;;;70.0000000000000000;;0;;;;;;0;;;;;;;;;;0;1710;;S4HEWM100;;;;;;;;;;;;0;0;;;;00:00:00;;;;;;0;;;;A;;;;;;;;C;C;C;;;;;C;C;C;C;;;;;;;;;;;;;;;;0;227;0ADC9D1324481ED7AB90975D2755FBAC;;;0;;0;0;;;00:00:00;;;;0;;0;;10/08/2017 16:59:33;0;0;;0;0;;;0;;;;;;;;;;;;;;;;;;;0;;0;0;;;0;;;;;;;;;;;;;;;0;;;0000000;;;;;;;;;;;;0;0;;;;;0;0;
100;27;10;MZ-TG-Y120;MZ-TG-Y120;;;ZYOUTH;Y120 Bike;TAN;;;A;0;0;;;;;;;0;0;ST;1;1;ST;0;0;;0;;;0;0;;;0;;;0;0;;;;00;;13020;USD;0;;;186;186;186;186;ST;1;1;186;167.4;G;0;;;0;;0;;;;0;1710;;1710;;;;;0;100;08.10.2017;BPINST;23:59:33;0;;;;;;;;;0;0;;70;1;ST;;X;02;;;01;;;;X;;;;;0;;7599.96;13020;13020;13020;0;0;0;1.00000;;;;US10_TGY1;;;;;;0;;;1;81;;;;;;0;;;;;SFS;KSV;70;;X;1.00000;0;0;;;;0;;;;;;;0;;;;;;;;0;0;;0;0;;;;;;;;;;;70.0000000000000000;;0;;;;;;0;;;;;;;;;;0;1710;;S4HEWM100;;;;;;;;;;;;0;0;;;;00:00:00;;;;;;0;;;;A;;;;;;;;C;C;C;;;;;C;C;C;C;;;;;;;;;;;;;;;;0;186;0ADC9D1324481ED7AB9097714C881BAC;;;0;;0;0;;;00:00:00;;;;0;;0;;10/08/2017 16:59:34;0;0;;0;0;;;0;;;;;;;;;;;;;;;;;;;0;;0;0;;;0;;;;;;;;;;;;;;;0;;;0000000;;;;;;;;;;;;0;0;;;;;0;0;
100;28;10;MZ-TG-Y200;MZ-TG-Y200;;;ZYOUTH;Y200 Bike;TAN;;;A;0;0;;;;;;;0;0;ST;1;1;ST;0;0;;0;;;0;0;;;0;;;0;0;;;;00;;9120;USD;0;;;76;76;76;76;ST;1;1;76;68.4;G;0;;;0;;0;;;;0;1710;;1710;;;;;0;100;08.10.2017;BPINST;23:59:34;0;;;;;;;;;0;0;;120;1;ST;;X;02;;;01;;;;X;;;;;0;;5173.32;9120;9120;9120;0;0;0;1.00000;;;;US10_TGY1;;;;;;0;;;1;84;;;;;;0;;;;;SFS;KSV;120;;X;1.00000;0;0;;;;0;;;;;;;0;;;;;;;;0;0;;0;0;;;;;;;;;;;120.0000000000000000;;0;;;;;;0;;;;;;;;;;0;1710;;S4HEWM100;;;;;;;;;;;;0;0;;;;00:00:00;;;;;;0;;;;A;;;;;;;;C;C;C;;;;;C;C;C;C;;;;;;;;;;;;;;;;0;76;0ADC9D1324481ED7AB9097714C8B7BAC;;;0;;0;0;;;00:00:00;;;;0;;0;;10/08/2017 16:59:34;0;0;;0;0;;;0;;;;;;;;;;;;;;;;;;;0;;0;0;;;0;;;;;;;;;;;;;;;0;;;0000000;;;;;;;;;;;;0;0;;;;;0;0;
100;29;10;MZ-TG-Y200;MZ-TG-Y200;;;ZYOUTH;Y200 Bike;TAN;;;A;0;0;;;;;;;0;0;ST;1;1;ST;0;0;;0;;;0;0;;;0;;;0;0;;;;00;;4320;USD;0;;;36;36;36;36;ST;1;1;36;32.4;G;0;;;0;;0;;;;0;1710;;1710;;;;;0;100;08.10.2017;BPINST;23:59:34;0;;;;;;;;;0;0;;120;1;ST;;X;02;;;01;;;;X;;;;;0;;2450.52;4320;4320;4320;0;0;0;1.00000;;;;US10_TGY1;;;;;;0;;;1;87;;;;;;0;;;;;SFS;KSV;120;;X;1.00000;0;0;;;;0;;;;;;;0;;;;;;;;0;0;;0;0;;;;;;;;;;;120.0000000000000000;;0;;;;;;0;;;;;;;;;;0;1710;;S4HEWM100;;;;;;;;;;;;0;0;;;;00:00:00;;;;;;0;;;;A;;;;;;;;C;C;C;;;;;C;C;C;C;;;;;;;;;;;;;;;;0;36;0ADC9D1324481ED7AB9097714C8EDBAC;;;0;;0;0;;;00:00:00;;;;0;;0;;10/08/2017 16:59:34;0;0;;0;0;;;0;;;;;;;;;;;;;;;;;;;0;;0;0;;;0;;;;;;;;;;;;;;;0;;;0000000;;;;;;;;;;;;0;0;;;;;0;0;
